company_name,industry,address,search_url,map_url,tel
株式会社高田部品商会,製造業,大阪府堺市北区奥本町１丁２９０番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E9%AB%98%E7%94%B0%E9%83%A8%E5%93%81%E5%95%86%E4%BC%9A,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%A5%A5%E6%9C%AC%E7%94%BA%EF%BC%91%E4%B8%81%EF%BC%92%EF%BC%99%EF%BC%90%E7%95%AA%E5%9C%B0,072-252-2357
極東金物工業株式会社,製造業,大阪府堺市北区南花田町４３７番地,https://www.google.com/search?q=%E6%A5%B5%E6%9D%B1%E9%87%91%E7%89%A9%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8D%97%E8%8A%B1%E7%94%B0%E7%94%BA%EF%BC%94%EF%BC%93%EF%BC%97%E7%95%AA%E5%9C%B0,072-251-1012
清水鉄筋工業株式会社,製造業,大阪府堺市美原区小平尾７５０番地,https://www.google.com/search?q=%E6%B8%85%E6%B0%B4%E9%89%84%E7%AD%8B%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E7%BE%8E%E5%8E%9F%E5%8C%BA%E5%B0%8F%E5%B9%B3%E5%B0%BE%EF%BC%97%EF%BC%95%EF%BC%90%E7%95%AA%E5%9C%B0,072-289-8961
株式会社イズサ電機工業所,製造業,大阪府堺市堺区旭ヶ丘南町１丁１番２９号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A4%E3%82%BA%E3%82%B5%E9%9B%BB%E6%A9%9F%E5%B7%A5%E6%A5%AD%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E6%97%AD%E3%83%B6%E4%B8%98%E5%8D%97%E7%94%BA%EF%BC%91%E4%B8%81%EF%BC%91%E7%95%AA%EF%BC%92%EF%BC%99%E5%8F%B7,
アクア工業株式会社,製造業,大阪府堺市中区深井清水町３５３５番地,https://www.google.com/search?q=%E3%82%A2%E3%82%AF%E3%82%A2%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%B7%B1%E4%BA%95%E6%B8%85%E6%B0%B4%E7%94%BA%EF%BC%93%EF%BC%95%EF%BC%93%EF%BC%95%E7%95%AA%E5%9C%B0,072-277-8563
株式会社アキ建設工業,製造業,大阪府堺市堺区中之町東４丁２番５号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A2%E3%82%AD%E5%BB%BA%E8%A8%AD%E5%B7%A5%E6%A5%AD,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E4%B8%AD%E4%B9%8B%E7%94%BA%E6%9D%B1%EF%BC%94%E4%B8%81%EF%BC%92%E7%95%AA%EF%BC%95%E5%8F%B7,
栄兆電機株式会社,製造業,大阪府堺市東区日置荘北町２丁２６番６８号,https://www.google.com/search?q=%E6%A0%84%E5%85%86%E9%9B%BB%E6%A9%9F%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E6%9D%B1%E5%8C%BA%E6%97%A5%E7%BD%AE%E8%8D%98%E5%8C%97%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%92%EF%BC%96%E7%95%AA%EF%BC%96%EF%BC%98%E5%8F%B7,072-285-3821
株式会社朝日鉄工所,製造業,大阪府堺市北区中百舌鳥町２丁７番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%9C%9D%E6%97%A5%E9%89%84%E5%B7%A5%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%AD%E7%99%BE%E8%88%8C%E9%B3%A5%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%97%E7%95%AA%E5%9C%B0,
株式会社梅田鉄工所,製造業,大阪府堺市堺区錦綾町２丁５番１６号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%A2%85%E7%94%B0%E9%89%84%E5%B7%A5%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E9%8C%A6%E7%B6%BE%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%95%E7%95%AA%EF%BC%91%EF%BC%96%E5%8F%B7,072-232-4766
株式会社奥井工業所,製造業,大阪府堺市堺区砂道町３丁６番２４号,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%A5%A5%E4%BA%95%E5%B7%A5%E6%A5%AD%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E7%A0%82%E9%81%93%E7%94%BA%EF%BC%93%E4%B8%81%EF%BC%96%E7%95%AA%EF%BC%92%EF%BC%94%E5%8F%B7,
株式会社小幡製作所,製造業,大阪府堺市北区百舌鳥本町２丁２６４番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%B0%8F%E5%B9%A1%E8%A3%BD%E4%BD%9C%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E7%99%BE%E8%88%8C%E9%B3%A5%E6%9C%AC%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%92%EF%BC%96%EF%BC%94%E7%95%AA%E5%9C%B0,
株式会社北野製作所,製造業,大阪府堺市北区南花田町４１６番地３,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%8C%97%E9%87%8E%E8%A3%BD%E4%BD%9C%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%8D%97%E8%8A%B1%E7%94%B0%E7%94%BA%EF%BC%94%EF%BC%91%EF%BC%96%E7%95%AA%E5%9C%B0%EF%BC%93,072-251-2425
粉川自動車工業株式会社,製造業,大阪府堺市西区浜寺石津町東２丁２番１８号,https://www.google.com/search?q=%E7%B2%89%E5%B7%9D%E8%87%AA%E5%8B%95%E8%BB%8A%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%B5%9C%E5%AF%BA%E7%9F%B3%E6%B4%A5%E7%94%BA%E6%9D%B1%EF%BC%92%E4%B8%81%EF%BC%92%E7%95%AA%EF%BC%91%EF%BC%98%E5%8F%B7,072-244-7111
小西工業株式会社,製造業,大阪府堺市北区長曽根町１８５番地の１４,https://www.google.com/search?q=%E5%B0%8F%E8%A5%BF%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E9%95%B7%E6%9B%BD%E6%A0%B9%E7%94%BA%EF%BC%91%EF%BC%98%EF%BC%95%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%91%EF%BC%94,
株式会社三晃製作所,製造業,大阪府堺市南区和田東９４８番地の１,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E4%B8%89%E6%99%83%E8%A3%BD%E4%BD%9C%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8D%97%E5%8C%BA%E5%92%8C%E7%94%B0%E6%9D%B1%EF%BC%99%EF%BC%94%EF%BC%98%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%91,
株式会社堺圧延工業所,製造業,大阪府堺市北区宮本町６４３番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%A0%BA%E5%9C%A7%E5%BB%B6%E5%B7%A5%E6%A5%AD%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E5%AE%AE%E6%9C%AC%E7%94%BA%EF%BC%96%EF%BC%94%EF%BC%93%E7%95%AA%E5%9C%B0,
サカイ工業株式会社,製造業,大阪府堺市西区浜寺船尾町東４丁２６１番地,https://www.google.com/search?q=%E3%82%B5%E3%82%AB%E3%82%A4%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E8%A5%BF%E5%8C%BA%E6%B5%9C%E5%AF%BA%E8%88%B9%E5%B0%BE%E7%94%BA%E6%9D%B1%EF%BC%94%E4%B8%81%EF%BC%92%EF%BC%96%EF%BC%91%E7%95%AA%E5%9C%B0,072-265-9065
三共機械株式会社,製造業,大阪府堺市堺区寺地町東３丁２番１９号,https://www.google.com/search?q=%E4%B8%89%E5%85%B1%E6%A9%9F%E6%A2%B0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E5%AF%BA%E5%9C%B0%E7%94%BA%E6%9D%B1%EF%BC%93%E4%B8%81%EF%BC%92%E7%95%AA%EF%BC%91%EF%BC%99%E5%8F%B7,072-229-2971
サカエ防災工業株式会社,製造業,大阪府堺市北区金岡町１２０２番地,https://www.google.com/search?q=%E3%82%B5%E3%82%AB%E3%82%A8%E9%98%B2%E7%81%BD%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E9%87%91%E5%B2%A1%E7%94%BA%EF%BC%91%EF%BC%92%EF%BC%90%EF%BC%92%E7%95%AA%E5%9C%B0,072-259-4554
クロセスクリーン工業株式会社,製造業,大阪府堺市堺区戎島町５丁４０番地,https://www.google.com/search?q=%E3%82%AF%E3%83%AD%E3%82%BB%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E6%88%8E%E5%B3%B6%E7%94%BA%EF%BC%95%E4%B8%81%EF%BC%94%EF%BC%90%E7%95%AA%E5%9C%B0,072-221-6670
株式会社新川製作所,製造業,大阪府堺市中区陶器北９８番地の２,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%96%B0%E5%B7%9D%E8%A3%BD%E4%BD%9C%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E9%99%B6%E5%99%A8%E5%8C%97%EF%BC%99%EF%BC%98%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%92,072-234-2261
新野村工業株式会社,製造業,大阪府堺市北区新金岡町５丁６番３２７号,https://www.google.com/search?q=%E6%96%B0%E9%87%8E%E6%9D%91%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%8C%97%E5%8C%BA%E6%96%B0%E9%87%91%E5%B2%A1%E7%94%BA%EF%BC%95%E4%B8%81%EF%BC%96%E7%95%AA%EF%BC%93%EF%BC%92%EF%BC%97%E5%8F%B7,
株式会社真田工業所,製造業,大阪府堺市東区石原町２丁５４番地の２,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E7%9C%9F%E7%94%B0%E5%B7%A5%E6%A5%AD%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E6%9D%B1%E5%8C%BA%E7%9F%B3%E5%8E%9F%E7%94%BA%EF%BC%92%E4%B8%81%EF%BC%95%EF%BC%94%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%92,072-257-4015
伸栄鉄工株式会社,製造業,大阪府堺市堺区柳之町東２丁１番２３号,https://www.google.com/search?q=%E4%BC%B8%E6%A0%84%E9%89%84%E5%B7%A5%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E6%9F%B3%E4%B9%8B%E7%94%BA%E6%9D%B1%EF%BC%92%E4%B8%81%EF%BC%91%E7%95%AA%EF%BC%92%EF%BC%93%E5%8F%B7,072-229-4567
株式会社小泉製作所,製造業,大阪府堺市堺区鉄砲町１８番地,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%B0%8F%E6%B3%89%E8%A3%BD%E4%BD%9C%E6%89%80,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E9%89%84%E7%A0%B2%E7%94%BA%EF%BC%91%EF%BC%98%E7%95%AA%E5%9C%B0,072-229-2332
大成金属工業株式会社,製造業,大阪府堺市中区大野芝町１６２番地の１,https://www.google.com/search?q=%E5%A4%A7%E6%88%90%E9%87%91%E5%B1%9E%E5%B7%A5%E6%A5%AD%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE,https://maps.google.com/maps?q=%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E4%B8%AD%E5%8C%BA%E5%A4%A7%E9%87%8E%E8%8A%9D%E7%94%BA%EF%BC%91%EF%BC%96%EF%BC%92%E7%95%AA%E5%9C%B0%E3%81%AE%EF%BC%91,072-236-4774
